CELLID,DIA,HORA
32272,07/02/2023,14:30
32273,07/02/2023,14:30
32291,07/02/2023,14:30
32292,07/02/2023,14:30
32293,07/02/2023,14:30
32294,07/02/2023,14:30
32295,07/02/2023,14:30
32296,07/02/2023,14:30
32297,07/02/2023,14:30
32298,07/02/2023,14:30
32299,07/02/2023,14:30
32301,07/02/2023,14:30
32302,07/02/2023,14:30
32303,07/02/2023,14:30
32304,07/02/2023,14:30
32305,07/02/2023,14:30
32306,07/02/2023,14:30
32307,07/02/2023,14:30
32308,07/02/2023,14:30
32309,07/02/2023,14:30
32311,07/02/2023,14:30
32312,07/02/2023,14:30
32313,07/02/2023,14:30
32314,07/02/2023,14:30
32315,07/02/2023,14:30
32316,07/02/2023,14:30
32317,07/02/2023,14:30
32318,07/02/2023,14:30
32319,07/02/2023,14:30
32321,07/02/2023,14:30
32322,07/02/2023,14:30
32323,07/02/2023,14:30
32324,07/02/2023,14:30
32325,07/02/2023,14:30
32326,07/02/2023,14:30
32341,07/02/2023,14:30
32342,07/02/2023,14:30
32343,07/02/2023,14:30
32344,07/02/2023,14:30
32345,07/02/2023,14:30
32346,07/02/2023,14:30
32361,07/02/2023,14:30
32362,07/02/2023,14:30
32363,07/02/2023,14:30
32364,07/02/2023,14:30
32365,07/02/2023,14:30
32366,07/02/2023,14:30
32367,07/02/2023,14:30
32368,07/02/2023,14:30
32369,07/02/2023,14:30
32371,07/02/2023,14:30
32372,07/02/2023,14:30
32373,07/02/2023,14:30
32374,07/02/2023,14:30
32375,07/02/2023,14:30
32376,07/02/2023,14:30
32377,07/02/2023,14:30
32378,07/02/2023,14:30
32379,07/02/2023,14:30
32381,07/02/2023,14:30
32382,07/02/2023,14:30
32384,07/02/2023,14:30
32385,07/02/2023,14:30
32387,07/02/2023,14:30
32388,07/02/2023,14:30
32391,07/02/2023,14:30
32392,07/02/2023,14:30
32393,07/02/2023,14:30
32411,07/02/2023,14:30
32412,07/02/2023,14:30
32413,07/02/2023,14:30
32414,07/02/2023,14:30
32415,07/02/2023,14:30
32416,07/02/2023,14:30
32417,07/02/2023,14:30
32418,07/02/2023,14:30
32419,07/02/2023,14:30
32461,07/02/2023,14:30
32462,07/02/2023,14:30
32463,07/02/2023,14:30
32464,07/02/2023,14:30
32465,07/02/2023,14:30
32466,07/02/2023,14:30
32467,07/02/2023,14:30
32468,07/02/2023,14:30
32469,07/02/2023,14:30
32471,07/02/2023,14:30
32472,07/02/2023,14:30
32473,07/02/2023,14:30
32474,07/02/2023,14:30
32475,07/02/2023,14:30
32476,07/02/2023,14:30
32491,07/02/2023,14:30
32492,07/02/2023,14:30
32494,07/02/2023,14:30
32495,07/02/2023,14:30
32497,07/02/2023,14:30
32498,07/02/2023,14:30
32521,07/02/2023,14:30
32522,07/02/2023,14:30
32523,07/02/2023,14:30
32524,07/02/2023,14:30
32525,07/02/2023,14:30
32526,07/02/2023,14:30
32527,07/02/2023,14:30
32528,07/02/2023,14:30
32529,07/02/2023,14:30
32541,07/02/2023,14:30
32542,07/02/2023,14:30
