CELLID,NODEBID,COD RF,NODEBNAME,RNC,Estado,Región RF,Region Comercial,Latitud,Longitud
30035,3003,2197,El Conde,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.496997,-66.899586
30036,3003,2197,El Conde,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.496997,-66.899586
30037,3003,2197,El Conde,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.496997,-66.899586
30038,3003,2197,El Conde,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.496997,-66.899586
30039,3003,2197,El Conde,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.496997,-66.899586
30051,3005,4086,Mariguitar,LCH,Sucre,Oriente,Oriente,10.449491,-63.899608
30052,3005,4086,Mariguitar,LCH,Sucre,Oriente,Oriente,10.449491,-63.899608
30053,3005,4086,Mariguitar,LCH,Sucre,Oriente,Oriente,10.449491,-63.899608
30054,3005,4086,Mariguitar,LCH,Sucre,Oriente,Oriente,10.449491,-63.899608
30055,3005,4086,Mariguitar,LCH,Sucre,Oriente,Oriente,10.449491,-63.899608
30056,3005,4086,Mariguitar,LCH,Sucre,Oriente,Oriente,10.449491,-63.899608
30057,3005,4086,Mariguitar,LCH,Sucre,Oriente,Oriente,10.449491,-63.899608
30058,3005,4086,Mariguitar,LCH,Sucre,Oriente,Oriente,10.449491,-63.899608
30059,3005,4086,Mariguitar,LCH,Sucre,Oriente,Oriente,10.449491,-63.899608
30091,3009,4059,Cañafistola,PTO,Bolívar,Oriente,Guayana,8.124267,-63.507386
30092,3009,4059,Cañafistola,PTO,Bolívar,Oriente,Guayana,8.124267,-63.507386
30093,3009,4059,Cañafistola,PTO,Bolívar,Oriente,Guayana,8.124267,-63.507386
30094,3009,4059,Cañafistola,PTO,Bolívar,Oriente,Guayana,8.124267,-63.507386
30095,3009,4059,Cañafistola,PTO,Bolívar,Oriente,Guayana,8.124267,-63.507386
30096,3009,4059,Cañafistola,PTO,Bolívar,Oriente,Guayana,8.124267,-63.507386
30097,3009,4059,Cañafistola,PTO,Bolívar,Oriente,Guayana,8.124267,-63.507386
30098,3009,4059,Cañafistola,PTO,Bolívar,Oriente,Guayana,8.124267,-63.507386
30099,3009,4059,Cañafistola,PTO,Bolívar,Oriente,Guayana,8.124267,-63.507386
30101,3010,3230,Barrancas BRN,ACA,Barinas,Occidente,Andes,8.770547,-70.116858
30102,3010,3230,Barrancas BRN,ACA,Barinas,Occidente,Andes,8.770547,-70.116858
30103,3010,3230,Barrancas BRN,ACA,Barinas,Occidente,Andes,8.770547,-70.116858
30104,3010,3230,Barrancas BRN,ACA,Barinas,Occidente,Andes,8.770547,-70.116858
30105,3010,3230,Barrancas BRN,ACA,Barinas,Occidente,Andes,8.770547,-70.116858
30106,3010,3230,Barrancas BRN,ACA,Barinas,Occidente,Andes,8.770547,-70.116858
30107,3010,3230,Barrancas BRN,ACA,Barinas,Occidente,Andes,8.770547,-70.116858
30108,3010,3230,Barrancas BRN,ACA,Barinas,Occidente,Andes,8.770547,-70.116858
30109,3010,3230,Barrancas BRN,ACA,Barinas,Occidente,Andes,8.770547,-70.116858
30121,3012,2235,Lidice,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.514207,-66.930986
30122,3012,2235,Lidice,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.514207,-66.930986
30123,3012,2235,Lidice,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.514207,-66.930986
30124,3012,2235,Lidice,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.514207,-66.930986
30125,3012,2235,Lidice,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.514207,-66.930986
30126,3012,2235,Lidice,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.514207,-66.930986
30127,3012,2235,Lidice,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.514207,-66.930986
30128,3012,2235,Lidice,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.514207,-66.930986
30129,3012,2235,Lidice,CNT,Distrito Capital,Gran Caracas,Gran Caracas,10.514207,-66.930986
30141,3014,4114,El Tigre Norte,LCH,Anzoátegui,Oriente,Oriente,8.905408,-64.269942
30142,3014,4114,El Tigre Norte,LCH,Anzoátegui,Oriente,Oriente,8.905408,-64.269942
30143,3014,4114,El Tigre Norte,LCH,Anzoátegui,Oriente,Oriente,8.905408,-64.269942
30144,3014,4114,El Tigre Norte,LCH,Anzoátegui,Oriente,Oriente,8.905408,-64.269942
30145,3014,4114,El Tigre Norte,LCH,Anzoátegui,Oriente,Oriente,8.905408,-64.269942
30146,3014,4114,El Tigre Norte,LCH,Anzoátegui,Oriente,Oriente,8.905408,-64.269942
30147,3014,4114,El Tigre Norte,LCH,Anzoátegui,Oriente,Oriente,8.905408,-64.269942
30148,3014,4114,El Tigre Norte,LCH,Anzoátegui,Oriente,Oriente,8.905408,-64.269942
30149,3014,4114,El Tigre Norte,LCH,Anzoátegui,Oriente,Oriente,8.905408,-64.269942
30151,3015,2260,Juan Pablo II,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.469827,-66.968286
30152,3015,2260,Juan Pablo II,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.469827,-66.968286
30153,3015,2260,Juan Pablo II,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.469827,-66.968286
30154,3015,2260,Juan Pablo II,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.469827,-66.968286
30155,3015,2260,Juan Pablo II,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.469827,-66.968286
30156,3015,2260,Juan Pablo II,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.469827,-66.968286
30157,3015,2260,Juan Pablo II,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.469827,-66.968286
30158,3015,2260,Juan Pablo II,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.469827,-66.968286
30159,3015,2260,Juan Pablo II,FAJ,Distrito Capital,Gran Caracas,Gran Caracas,10.469827,-66.968286
30161,3016,4140,Barrio Sucre,LCH,Anzoátegui,Oriente,Oriente,10.147597,-64.676086
30162,3016,4140,Barrio Sucre,LCH,Anzoátegui,Oriente,Oriente,10.147597,-64.676086
30163,3016,4140,Barrio Sucre,LCH,Anzoátegui,Oriente,Oriente,10.147597,-64.676086
30164,3016,4140,Barrio Sucre,LCH,Anzoátegui,Oriente,Oriente,10.147597,-64.676086
